"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1LRBXAHNlIIekxfKTPuR1h","Gravferd","spotify:artist:1gElenpR6s1qfYMiUlZ8Na","Eldrim","spotify:album:1BYallc1jnuWOys7f99j6W","Kvile","spotify:artist:1gElenpR6s1qfYMiUlZ8Na","Eldrim","2020-09-04","https://i.scdn.co/image/ab67616d0000b2732291a1407fc8e44a9dc38cf9","1","6","236540","https://p.scdn.co/mp3-preview/e1bb04e2ec0c598768cafce8456fe4df154dd978?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","NOMRS1901060","","2025-07-15T18:12:59Z"
"spotify:track:1fotoYONO343JjbC8XvPSl","Moment Of Truth","spotify:artist:5cMgGlA1xGyeAB2ctYlRdZ","Gang Starr","spotify:album:5f6Nz2v1DESbpu1NerEql2","Moment Of Truth","spotify:artist:5cMgGlA1xGyeAB2ctYlRdZ","Gang Starr","1998-03-31","https://i.scdn.co/image/ab67616d0000b2733a76edacefe2e7a589222787","1","8","247333","https://p.scdn.co/mp3-preview/10027057872a3019a840797e23fbaeb34acf2f4b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USVI29800594","","2025-07-13T22:13:21Z"
"spotify:track:2XuXP95mNQtyLJMenBlUQ5","I Got Summer On My Mind","spotify:artist:7r1VJ53RGn5jqR98Sgpe9l","Elli Eli","spotify:album:4jNB7BH23tOtZLndGZmuXS","I Got Summer On My Mind","spotify:artist:7r1VJ53RGn5jqR98Sgpe9l","Elli Eli","2015-01-01","https://i.scdn.co/image/ab67616d0000b273ecfe4c25d0aeb2de82914249","1","1","205687","https://p.scdn.co/mp3-preview/ffca63616e3ea7cc53c11fe9b3c1a74073f2558b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","BXY5K2168748","","2025-07-13T22:11:49Z"
"spotify:track:7AgMX97ljLm9BzszyyXEYZ","Jazz (We've Got)","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","11","250240","https://p.scdn.co/mp3-preview/c8f57722357f0c69044271cb2ec988939854999a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USJI19100004","","2025-07-13T22:04:25Z"
"spotify:track:60GM1mA58L7SYD1bLQXBho","Woman","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI, spotify:artist:3ETLPQkcEd7z4k3IbZmXMq","Little Simz, Cleo Sol","spotify:album:4nOym5RKE8Opauf3rMxPAW","Sometimes I Might Be Introvert","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","2021-09-03","https://i.scdn.co/image/ab67616d0000b273aede85ed28c2237a33b63dba","1","2","269413","https://p.scdn.co/mp3-preview/69246fe83d59c16b3686212efe5db35f5cf9752b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","GBWWP2106837","","2025-07-13T21:50:33Z"
"spotify:track:6cAzry2mEBQMJYVlF7oSOk","Shadows Forever","spotify:artist:2ipBhKpOYqs6BbysLNGye6","Jean Grae","spotify:album:0BqCQwGFcPXkdNqajk18yS","Jean Grae: The Evil Jeanius","spotify:artist:0dU2EKM6vca3xmJ9kl8zoI","Blue Sky Black Death","2008-09-30","https://i.scdn.co/image/ab67616d0000b2737b19ae4df94a320cbba6dce5","1","1","217840","https://p.scdn.co/mp3-preview/9205bf9d9440e7d9b3480e1d414a5a66c38bfeb1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","13","USA560843369","","2025-07-13T21:18:19Z"
"spotify:track:0ccCwNzXvr1Yoz91vKz31Z","Yoshimi Battles the Pink Robots, Pt. 1","spotify:artist:16eRpMNXSQ15wuJoeqguaB","The Flaming Lips","spotify:album:49LA20VMk65fQyEaIzYdvf","Yoshimi Battles the Pink Robots","spotify:artist:16eRpMNXSQ15wuJoeqguaB","The Flaming Lips","2002-05-13","https://i.scdn.co/image/ab67616d0000b273ca69f52416a728ebd0b9103c","1","3","287506","https://p.scdn.co/mp3-preview/01f29a1681283f64445b9e22f2c0e2eb9a7d0b98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USWB10200887","","2025-07-13T14:52:30Z"
"spotify:track:0ScgmigVOJr2mFsAtwFQmz","Fight Test","spotify:artist:16eRpMNXSQ15wuJoeqguaB","The Flaming Lips","spotify:album:49LA20VMk65fQyEaIzYdvf","Yoshimi Battles the Pink Robots","spotify:artist:16eRpMNXSQ15wuJoeqguaB","The Flaming Lips","2002-05-13","https://i.scdn.co/image/ab67616d0000b273ca69f52416a728ebd0b9103c","1","1","256720","https://p.scdn.co/mp3-preview/b648e879c02da2f456a8aed0175bb2ba7643fb49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USWB10200885","","2025-07-13T14:52:26Z"
"spotify:track:2AuU35arXZdYoscOIxHWSc","Rain Man","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:1kTlYbs28MXw7hwO0NLYif","Encore (Deluxe Version)","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2004-11-12","https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023","1","10","313946","https://p.scdn.co/mp3-preview/f8d4c0b9193696d8729a8af40e33c967cb672bb8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","USIR10400820","","2025-07-12T14:08:21Z"
"spotify:track:3NtwI0Z4XpQaJ4AULkPcu4","Karma Hotel","spotify:artist:5UEdalZXwxU3mzNl1xWr5y","The Spooks","spotify:album:6MP9Ve00hzh3oIeMiecE9R","S.I.O.S.O.S.: Volume One (Digitally Remastered)","spotify:artist:5UEdalZXwxU3mzNl1xWr5y","The Spooks","2012-10-24","https://i.scdn.co/image/ab67616d0000b273cd12caf7cfa9b3d4e94187c6","1","9","301693","https://p.scdn.co/mp3-preview/72036f3c3fc6fc129a5e0c2e668aff7988c23ac3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","USGZ21243137","","2025-07-12T11:27:01Z"
