,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track_id
2266,ac3afcac-b688-4fc4-8d7e-403fe39fe867,0.196,0.642,0.721,0.474,0.0926,-9.765,0.0434,124.997,0.438,ac3afcac-b688-4fc4-8d7e-403fe39fe867
2267,7b52077c-dbfc-4898-85d8-c0ea46aa3490,0.17,0.608,0.642,0.0667,0.166,-7.978,0.0251,87.703,0.608,7b52077c-dbfc-4898-85d8-c0ea46aa3490
2268,bcb833d2-310c-4a2b-9ca2-6ad40b7ec920,0.0431,0.594,0.63,2.56e-06,0.0974,-7.323,0.0268,117.01,0.365,bcb833d2-310c-4a2b-9ca2-6ad40b7ec920
2269,8eb9a757-a79f-490f-895a-15b09631b164,0.181,0.618,0.783,0.00165,0.273,-7.381,0.0297,107.991,0.605,8eb9a757-a79f-490f-895a-15b09631b164
2270,88c48fd2-7923-4e01-b94b-a9ef6c54ed9e,0.0414,0.705,0.856,0.00228,0.0666,-5.921,0.0423,117.005,0.765,88c48fd2-7923-4e01-b94b-a9ef6c54ed9e
2271,058c2f27-dbcb-49f1-9e32-3103de43914a,0.0122,0.525,0.886,0.032,0.108,-7.304,0.0519,74.987,0.421,058c2f27-dbcb-49f1-9e32-3103de43914a
2272,c95bf6e4-27fb-44ed-a207-e83d0e1a3729,0.663,0.569,0.548,0.0258,0.102,-10.523,0.0254,98.019,0.203,c95bf6e4-27fb-44ed-a207-e83d0e1a3729
2273,380002ca-9548-4c13-b8fa-1bc679f71ed0,0.002,0.611,0.732,0.0,0.12,-4.137,0.0347,113.451,0.475,380002ca-9548-4c13-b8fa-1bc679f71ed0
2274,3932a9e4-b11d-4d70-a3a9-2f1aa362028a,0.0101,0.571,0.8,7.29e-05,0.111,-4.131,0.0292,104.377,0.335,3932a9e4-b11d-4d70-a3a9-2f1aa362028a
2275,0b8093a1-75c1-434f-8994-66ca776d323d,0.00399,0.499,0.705,9.11e-06,0.104,-5.596,0.0669,123.909,0.36,0b8093a1-75c1-434f-8994-66ca776d323d
2276,b2727517-5900-45a4-af3e-e3fbcfa41d15,0.013,0.725,0.803,3.66e-05,0.0891,-4.083,0.0337,117.391,0.403,b2727517-5900-45a4-af3e-e3fbcfa41d15
